,cA4,cD4,cD3,cD2,cD1
AF3,0.14015039098864954,0.17194325171641456,0.18942411614205648,0.19517448191883027,0.22882431333516687
AF4,0.12717978434059993,0.0915595355418622,0.0819442678839619,0.11827062869064245,0.12730404554155345
T7,0.17843825169693478,0.10179683613611498,0.09989829111535205,0.08532970942880672,0.11691344766786048
T8,0.12737595687761658,0.11761886914563659,0.07788588660520808,0.09124677272610465,0.10734284736788277
Pz,0.14236942654230964,0.13930541445498745,0.11861305292642074,0.15348556636390734,0.2589545579309684
