,cA4,cD4,cD3,cD2,cD1
AF3,0.07362451167052711,0.0924667415384008,0.13307440733973888,0.17238079251654134,0.18838194077002174
AF4,0.0909366375407927,0.05314777601533324,0.0709226436727564,0.1032470065327727,0.14192031360891635
T7,0.10284522899069305,0.05375027187553155,0.0563661723909104,0.06639713415324526,0.14429656030146573
T8,0.06728187551898152,0.06863116299073657,0.05710509940673747,0.05550160310957912,0.1386086688580176
Pz,0.08190173805429071,0.062386980033830496,0.07640311513575522,0.1307838544933234,0.18482166066557396
